"species","model","auc","cbi"
"Pagrus auriga","LASSO NAIVE",0.957911280954787,0.694407971768299
"Pagrus auriga","MAXNET",0.927817244241734,-0.358085881551812
"Pagrus auriga","RF DOWNSAMPLED",0.952647208284982,0.474093603647325
"Pagrus pagrus","BRT NAIVE",0.9729053138536,0.742113351083683
"Pagrus pagrus","LASSO NAIVE",0.971394156108981,0.788539041098222
"Pagrus pagrus","MAXNET",0.953520417951731,0.787438233538448
"Pagrus pagrus","RF DOWNSAMPLED",0.976753416431542,0.75100972751164
"Hippoglossus hippoglossus","BRT NAIVE",0.926752711210951,0.613364895790233
"Hippoglossus hippoglossus","LASSO NAIVE",0.91827659285874,0.804359668903065
"Hippoglossus hippoglossus","MAXNET",0.929720102632033,0.84830993416304
"Hippoglossus hippoglossus","RF DOWNSAMPLED",0.94105024960573,0.943192736931681
"Solea solea","BRT NAIVE",0.982682460051293,0.889945740778754
"Solea solea","LASSO NAIVE",0.978343354285156,0.924720896049746
"Solea solea","MAXNET",0.98120588364278,0.830505314889831
"Solea solea","RF DOWNSAMPLED",0.984144813153815,0.964220636722595
